utc_dt_naive,ut_p_kw,ut_pos_ltea_kwh,ut_neg_ltea_kwh,ba_p_kw,ba_pos_ltea_kwh,ba_neg_ltea_kwh,pv_p_kw,pv_pos_ltea_kwh,pv_neg_ltea_kwh
2021-01-10 21:01:36,-50.88,2383104.69172676,34134.96280465158,236.27,135882.62137927333,189516.75843783084,51.64,658887.3439931978,3.5
2021-01-10 21:01:38,-46.56,2383104.69172676,34134.98867119325,236.27,135882.75263793807,189516.75843783084,51.84,658887.3727650554,3.5
2021-01-10 21:01:40,-51.32,2383104.69172676,34135.01147712489,236.72,135882.85820149948,189516.75843783084,52.03,658887.395960156,3.5
2021-01-10 21:01:42,-51.56,2383104.69172676,34135.04566274875,236.89000000000001,135883.01572581643,189516.75843783084,52.2,658887.4306414839,3.5
2021-01-10 21:01:44,-52.35,2383104.69172676,34135.07276555769,237.28,135883.1388474856,189516.75843783084,52.370000000000005,658887.4578058141,3.5
2021-01-10 21:01:46,-52.93,2383104.69172676,34135.10410360774,237.42000000000002,135883.2794167652,189516.75843783084,52.480000000000004,658887.4888776211,3.5
2021-01-10 21:01:48,-54.95,2383104.69172676,34135.13462948006,237.68,135883.4114539358,189516.75843783084,52.800000000000004,658887.5181829005,3.5
2021-01-10 21:01:50,-55.85,2383104.69172676,34135.165375755074,238.23000000000002,135883.54297659034,189516.75843783084,52.97,658887.5474122404,3.5
2021-01-10 21:01:52,-55.93,2383104.69172676,34135.19573169295,237.58,135883.6755241338,189516.75843783084,53.160000000000004,658887.5770403146,3.5
2021-01-10 21:01:54,-57.04,2383104.69172676,34135.224253528,237.65,135883.7936757699,189516.75843783084,53.370000000000005,658887.6035477888,3.5
2021-01-10 21:01:56,-57.63,2383104.69172676,34135.25778548784,237.75,135883.9325423482,189516.75843783084,53.6,658887.6348297591,3.5
2021-01-10 21:01:58,-57.79,2383104.69172676,34135.29167510928,237.75,135884.0719661691,189516.75843783084,53.800000000000004,658887.6663470363,3.5
2021-01-10 21:02:00,-57.77,2383104.69172676,34135.32067434028,237.79,135884.19080088017,189516.75843783084,53.980000000000004,658887.6933086736,3.5
2021-01-10 21:02:02,-54.09,2383104.69172676,34135.35506016483,235.12,135884.33550866393,189516.75843783084,54.2,658887.7264247403,3.5
2021-01-10 21:02:04,-54.28,2383104.69172676,34135.38485476817,234.87,135884.46465275766,189516.75843783084,54.32,658887.7562940455,3.5
2021-01-10 21:02:06,-54.99,2383104.69172676,34135.41381622274,234.88,135884.58897137255,189516.75843783084,54.660000000000004,658887.7851910993,3.5
2021-01-10 21:02:08,-54.4,2383104.69172676,34135.44560457216,234.84,135884.7268792559,189516.75843783084,54.86,658887.8173763889,3.5
2021-01-10 21:02:10,-55.26,2383104.69172676,34135.47289175766,234.89000000000001,135884.8431309594,189516.75843783084,55.06,658887.8446055019,3.5
2021-01-10 21:02:12,-58.42,2383104.69172676,34135.50849350833,237.34,135884.98936892557,189516.75843783084,55.29,658887.8786323197,3.5
2021-01-10 21:02:14,-58.76,2383104.69172676,34135.52818736316,237.43,135885.06932647628,189516.75843783084,55.4,658887.8972889553,3.5
2021-01-10 21:02:16,-59.21,2383104.69172676,34135.574037039456,237.46,135885.25320627942,189516.75843783084,55.730000000000004,658887.9404029938,3.5
2021-01-10 21:02:18,-60.4,2383104.69172676,34135.60759175049,237.44,135885.38511429945,189516.75843783084,55.92,658887.9714581942,3.5
2021-01-10 21:02:20,-59.27,2383104.69172676,34135.64049064465,237.51,135885.51656698508,189516.75843783084,56.14,658888.0025008987,3.5
2021-01-10 21:02:22,-57.93,2383104.69172676,34135.67306749224,236.76,135885.64859361082,189516.75843783084,56.35,658888.0338935395,3.5
2021-01-10 21:02:24,-58.13,2383104.69172676,34135.70176220701,236.49,135885.76526530323,189516.75843783084,56.58,658888.061776895,3.5
2021-01-10 21:02:26,-58.71,2383104.69172676,34135.73803112805,236.52,135885.91137980882,189516.75843783084,56.77,658888.0968164923,3.5
2021-01-10 21:02:28,-59.33,2383104.69172676,34135.76734644858,236.49,135886.0288216789,189516.75843783084,56.99,658888.1250908008,3.5
2021-01-10 21:02:30,-59.81,2383104.69172676,34135.8003255836,236.42000000000002,135886.1598807349,189516.75843783084,57.18,658888.1567590153,3.5
2021-01-10 21:02:32,-59.97,2383104.69172676,34135.82814452049,236.45000000000002,135886.2697683858,189516.75843783084,57.27,658888.1833770942,3.5
2021-01-10 21:02:34,-60.050000000000004,2383104.69172676,34135.86330044051,236.36,135886.4083174885,189516.75843783084,57.49,658888.217067089,3.5
2021-01-10 21:02:36,-60.78,2383104.69172676,34135.90284199937,236.45000000000002,135886.5627973446,189516.75843783084,57.800000000000004,658888.2547926942,3.5
2021-01-10 21:02:38,-60.97,2383104.69172676,34135.938094172845,236.42000000000002,135886.69950251307,189516.75843783084,57.97,658888.2882864325,3.5
2021-01-10 21:02:40,-59.94,2383104.69172676,34135.96654685388,236.43,135886.8113037403,189516.75843783084,58.17,658888.3157741196,3.5
2021-01-10 21:02:42,-58.03,2383104.69172676,34135.9990676714,236.42000000000002,135886.94099550322,189516.75843783084,58.25,658888.3477271098,3.5
2021-01-10 21:02:44,-59.800000000000004,2383104.69172676,34136.03424190981,236.35,135887.07945510183,189516.75843783084,58.53,658888.3819849002,3.5
2021-01-10 21:02:46,-59.9,2383104.69172676,34136.07107883986,236.37,135887.22481691916,189516.75843783084,58.800000000000004,658888.4180946258,3.5
2021-01-10 21:02:48,-59.79,2383104.69172676,34136.10432011195,236.41,135887.3561555856,189516.75843783084,58.88,658888.4507980857,3.5
2021-01-10 21:02:50,,,,236.4,135887.4874897216,189516.75843783084,59.04,658888.4835752702,3.5
2021-01-10 21:02:52,-59.45,2383104.69172676,34136.16053689905,237.54,135887.58406937864,189516.75843783084,59.14,658888.5077018165,3.5
2021-01-10 21:02:54,-63.76,2383104.69172676,34136.20472035027,238.26,135887.750731801,189516.75843783084,59.44,658888.5492366174,3.5
2021-01-10 21:02:56,-59.74,2383104.69172676,34136.237285296564,238.29,135887.87787923263,189516.75843783084,59.58,658888.5810167788,3.5
2021-01-10 21:02:58,-56.660000000000004,2383104.69172676,34136.27021914229,238.29,135888.01638583647,189516.75843783084,59.72,658888.6157117838,3.5
2021-01-10 21:03:00,-69.05,2383104.69172676,34136.30100506084,238.3,135888.12313389377,189516.75843783084,59.94,658888.6425412945,3.5
2021-01-10 21:03:02,-67.73,2383104.69172676,34136.346430388236,238.33,135888.28117687206,189516.75843783084,60.11,658888.6823700478,3.5
2021-01-10 21:03:04,-69.52,2383104.69172676,34136.38458849293,238.36,135888.4121043489,189516.75843783084,60.24,658888.7154484203,3.5
2021-01-10 21:03:06,-67.58,2383104.69172676,34136.42255480252,238.36,135888.54601400305,189516.75843783084,60.38,658888.7493473926,3.5
2021-01-10 21:03:08,-69.33,2383104.69172676,34136.458701766416,238.35,135888.6713686392,189516.75843783084,60.550000000000004,658888.7811708819,3.5
2021-01-10 21:03:10,-66.26,2383104.69172676,34136.498156847614,238.35,135888.81084848533,189516.75843783084,60.71,658888.816677548,3.5
2021-01-10 21:03:12,-66.83,2383104.69172676,34136.525335983504,234.87,135888.90792717604,189516.75843783084,60.78,658888.8415401127,3.5
2021-01-10 21:03:14,-62.6,2383104.69172676,34136.56994036692,232.54,135889.07097330256,189516.75843783084,60.95,658888.8842525822,3.5
2021-01-10 21:03:16,-64.32000000000001,2383104.69172676,34136.6057280533,,,,61.07,658888.9182237663,3.5
2021-01-10 21:03:18,-62.95,2383104.69172676,34136.64073142257,231.96,135889.32932952757,189516.75843783084,61.19,658888.9521959461,3.5
2021-01-10 21:03:20,-63.89,2383104.69172676,34136.67457465713,231.68,135889.4528147263,189516.75843783084,61.33,658888.9848602465,3.5
2021-01-10 21:03:22,-62.27,2383104.69172676,34136.71045659455,231.70000000000002,135889.58677907664,189516.75843783084,61.44,658889.0203761866,3.5
2021-01-10 21:03:24,-63.39,2383104.69172676,34136.74046151257,231.56,135889.69677156527,189516.75843783084,61.57,658889.049604592,3.5
2021-01-10 21:03:26,-63.31,2383104.69172676,34136.780741389,231.57,135889.84407710846,189516.75843783084,61.67,658889.0888213011,3.5
2021-01-10 21:03:28,-62.730000000000004,2383104.69172676,34136.81399875044,231.16,135889.96648793906,189516.75843783084,61.78,658889.1215176379,3.5
2021-01-10 21:03:30,-58.74,2383104.69172676,34136.84768061163,230.86,135890.09490794656,189516.75843783084,61.88,658889.1559041692,3.5
2021-01-10 21:03:32,-62.28,2383104.69172676,34136.87372637942,230.46,135890.19538551167,189516.75843783084,61.93,658889.1828570424,3.5
2021-01-10 21:03:34,-62.660000000000004,2383104.69172676,34136.91618826176,230.05,135890.35192094577,189516.75843783084,62.050000000000004,658889.225010332,3.5
2021-01-10 21:03:36,-63.58,2383104.69172676,34136.95092729262,229.99,135890.4786908942,189516.75843783084,62.13,658889.259246206,3.5
2021-01-10 21:03:38,-63.56,2383104.69172676,34136.987899681306,229.99,135890.61247487686,189516.75843783084,62.230000000000004,658889.2954291601,3.5
2021-01-10 21:03:40,-63.370000000000005,2383104.69172676,34137.016145619324,230.01,135890.71522390618,189516.75843783084,62.33,658889.3232665831,3.5
2021-01-10 21:03:42,-63.34,2383104.69172676,34137.05828274258,229.95000000000002,135890.86802621835,189516.75843783084,62.39,658889.364706991,3.5
2021-01-10 21:03:44,-55.410000000000004,2383104.69172676,34137.08828043585,229.77,135890.98304438248,189516.75843783084,62.45,658889.3959537969,3.5
2021-01-10 21:03:46,-64.07000000000001,2383104.69172676,34137.127402838494,229.68,135891.12329562343,189516.75843783084,62.52,658889.4341196842,3.5
2021-01-10 21:03:48,-63.07,2383104.69172676,34137.1624426602,229.43,135891.25075957345,189516.75843783084,62.59,658889.4688862783,3.5
2021-01-10 21:03:50,-64.66,2383104.69172676,34137.19492764622,229.11,135891.36743028217,189516.75843783084,62.64,658889.500775863,3.5
2021-01-10 21:03:52,-63.39,2383104.69172676,34137.230290226886,228.06,135891.49843378967,189516.75843783084,62.690000000000005,658889.5366865365,3.5
